rxqual_value,rxlev_dbm,km_value,hour,day_of_week,is_weekend,has_hdlc_retrans,com_dte_dce_ok,voisinage_ok,label
0.0,-83.0,48.426,11.0,1,0,1,1,1,1
7.0,-57.0,7.321,12.0,1,0,1,1,1,0
7.0,-75.0,94.954,8.0,3,0,1,1,1,0
7.0,-56.0,7.321,14.0,3,0,1,1,1,0
7.0,-59.0,7.321,19.0,3,0,1,1,1,0
7.0,-54.0,7.321,16.0,4,0,1,1,1,0
2.0,-65.0,32.626,23.0,4,0,1,1,1,1
6.0,-81.0,94.954,23.0,6,1,1,1,1,1
7.0,-65.0,7.321,23.0,0,0,1,1,1,0
7.0,-59.0,7.321,16.0,1,0,1,1,1,0
0.0,-50.0,7.321,19.0,1,0,1,1,1,0
7.0,-59.0,7.321,21.0,1,0,1,1,1,0
7.0,-55.0,6.13,15.0,2,0,1,1,1,0
7.0,-66.0,7.321,19.0,2,0,1,1,1,0
0.0,-60.0,176.612,16.0,4,0,1,1,1,0
7.0,-68.0,7.321,12.0,5,1,1,1,1,0
7.0,-62.0,109.495,14.0,5,1,1,1,1,0
7.0,-57.0,7.321,19.0,5,1,1,1,1,1
7.0,-82.0,127.815,22.0,6,1,1,1,1,0
5.0,-75.0,177.85,23.0,6,1,1,1,1,0
7.0,-58.0,7.321,10.0,0,0,1,1,1,0
7.0,-63.0,202.125,20.0,0,0,1,1,1,1
6.0,-70.0,106.206,21.0,0,0,1,1,0,1
7.0,-62.0,109.495,12.0,0,0,1,1,1,1
7.0,-54.0,7.321,13.0,1,0,1,1,1,0
0.0,-60.0,8.97,17.0,1,0,1,1,1,0
7.0,-62.0,13.713,23.0,1,0,1,1,1,0
0.0,96.0,25.91,6.0,2,0,1,1,0,1
7.0,75.0,94.954,20.0,2,0,1,1,1,1
7.0,-54.0,6.13,17.0,3,0,1,1,1,0
6.0,-64.0,176.612,18.0,3,0,1,1,0,0
7.0,-52.0,6.13,21.0,3,0,1,1,1,0
4.0,-79.0,169.06,8.0,4,0,1,1,1,0
7.0,-54.0,7.321,9.0,4,0,1,1,1,0
3.0,-68.0,75.84,14.0,4,0,1,1,1,0
7.0,-58.0,7.321,8.0,4,0,1,1,1,0
0.0,-60.0,7.321,7.0,4,0,1,1,1,0
7.0,-68.0,200.542,20.0,4,0,1,1,1,1
0.0,-48.0,9.03,7.0,5,1,1,1,1,0
2.0,-61.0,6.13,8.0,5,1,1,1,1,0
7.0,-110.0,145.6,9.0,5,1,1,1,0,0
7.0,-60.0,6.13,12.0,5,1,1,1,1,0
4.0,-53.0,6.13,15.0,5,1,1,1,1,0
0.0,-50.0,134.3,19.0,5,1,1,1,1,0
0.0,-60.0,11.23,20.0,5,1,1,1,1,0
0.0,-62.0,134.3,21.0,5,1,1,1,1,0
2.0,-62.0,33.961,8.0,6,1,1,1,1,0
6.0,-58.0,113.321,9.0,6,1,1,1,1,1
7.0,-57.0,7.321,13.0,6,1,1,1,1,0
7.0,-70.0,7.321,17.0,6,1,1,1,1,0
0.0,-48.0,182.925,17.0,6,1,1,1,1,0
3.0,-63.0,7.321,18.0,6,1,1,1,1,0
0.0,-48.0,162.895,21.0,6,1,1,1,1,0
7.0,-59.0,7.321,14.0,0,0,1,1,1,0
3.0,-55.0,6.13,17.0,0,0,1,1,1,0
3.0,-64.0,36.558,18.0,0,0,1,1,1,0
7.0,-52.0,6.13,20.0,0,0,1,1,1,0
0.0,-66.0,21.55,20.0,0,0,1,1,1,0
1.0,-59.0,13.713,9.0,1,0,1,1,1,0
3.0,-63.0,44.47,9.0,1,0,1,1,1,0
6.0,-50.0,7.321,14.0,1,0,1,1,1,0
4.0,-49.0,7.321,15.0,1,0,1,1,0,0
3.0,-50.0,6.13,21.0,1,0,1,1,1,0
7.0,-58.0,6.13,17.0,2,0,1,1,0,0
7.0,-55.0,6.13,12.0,3,0,1,1,0,0
0.0,-50.0,145.54,16.0,3,0,1,1,1,0
7.0,-52.0,6.13,20.0,3,0,1,1,0,0
