source,timestamp,km,zone_gsmr,cause_racine,sous_systeme,rxqual_ertms,rxlev_ertms,start_time,stop_time,call_setup_duration,transaction_duration,gsmr_connected,etcs_connected,end_event,end_cause,imei,label,call_setup_sec,transaction_sec,hour,day_of_week,is_weekend,is_night,duration_very_short,duration_very_long,slow_setup,km_value
ERTMS,2025-11-07 16:15:04.000,35.259,GSMR_06/07,"Selon notre analyse, nous avons constaté que le HO complet entre 595 et 596, les conditions radio étaient mauvaies avant la déconnexion,La requete de deconnexion a ete envoyé par le RBC suite au retransmission des trames HDLC",GSMR,dl Rxqual=7,dl rx level=-83,2025-11-07 16:15:00.241,2025-11-07 16:15:05.395,3s 609ms,5s 154ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500022752.0,1,3.609,5.154,16,4,0,0,1,0,0,35.259
Expandium_Normal,2026-02-17 12:32:20.275,,,,,,,2026-02-17 12:32:20.275,2026-02-17 13:14:02.930,3s 609ms,41min 42s 655ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500046055.0,0,3.609,2502.655,12,1,0,0,0,0,0,
Expandium_Normal,2025-12-31 13:34:03.533,,,,,,,2025-12-31 13:34:03.533,2025-12-31 14:15:45.462,3s 636ms,41min 41s 929ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045480.0,0,3.636,2501.929,13,2,0,0,0,0,0,
ERTMS,2025-10-14 17:05:03.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO est Complet  entre 202 et 203 ,les conditions radio étaient Mauvaises avant la déconnexion,La requete de deconnexion a ete envoyé par le RBC sans retransmission des trames HDLC",BORD,dl Rxqual=7,dl rx level=-70,2025-10-14 17:05:05.820,2025-10-14 17:05:12.998,3s 611ms,7s 178ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500045495.0,1,3.6109999999999998,7.178,17,1,0,0,1,0,0,6.13
ERTMS,2025-11-18 15:05:14.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO Complete entre 202 et 203, les conditions radio étaient mauvaies avant la déconnexion, La requete de deconnexion a ete envoyé par le RBC  avec retransmission des trames HDLC*5",BORD,dl Rxqual=7,dl rx level=-67,2025-11-18 15:05:16.465,2025-11-18 15:05:24.323,3s 602ms,7s 858ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500047160.0,1,3.602,7.858,15,1,0,0,1,0,0,6.13
Expandium_Normal,2025-12-03 02:47:18.212,,,,,,,2025-12-03 02:47:18.212,2025-12-03 02:48:11.066,4s 571ms,52s 854ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500047160.0,0,4.571,52.854,2,2,0,1,1,0,0,
Expandium_Normal,2025-11-18 12:04:35.235,,,,,,,2025-11-18 12:04:35.235,2025-11-18 12:06:12.984,3s 574ms,1min 37s 749ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045495.0,0,3.574,97.749,12,1,0,0,0,0,0,
Expandium_Normal,2026-02-02 19:47:11.318,,,,,,,2026-02-02 19:47:11.318,2026-02-02 19:48:40.837,4s 532ms,1min 29s 519ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500038730.0,0,4.532,89.519,19,0,0,0,0,0,0,
ERTMS,2026-02-01 19:05:26.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO non finalisé entre 202 et 203, les conditions radio étaient Mauvaise avant la déconnexion, La requete de deconnexion a ete envoyé par le RBC  avec  retransmission des trames HDLC*5",BORD,dl Rxqual=7,dl rx level=-50,2026-02-01 19:05:28.863,2026-02-01 19:05:37.922,3s 576ms,9s 59ms,Connected,Not Connected,Release,Normal call clearing,35214500045735.0,1,3.576,9.059,19,6,1,0,1,0,0,6.13
ERTMS,2026-01-25 14:05:30.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO non finalisé entre 202 et 203, les conditions radio étaient Mauvaise avant la déconnexion, La requete de deconnexion a ete envoyé par le RBC  avec  retransmission des trames HDLC*5",BORD,dl Rxqual=6,dl rx level=-52,2026-01-25 14:05:19.519,2026-01-25 14:05:35.246,4s 783ms,15s 727ms,Connected,Not Connected,User Plane SAPDU DI,Normal release requested by peer SFM user,35214500045073.0,1,4.783,15.727,14,6,1,0,1,0,0,6.13
Expandium_Normal,2025-10-21 12:32:55.103,,,,,,,2025-10-21 12:32:55.103,2025-10-21 13:14:15.245,3s 631ms,41min 20s 142ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045477.0,0,3.6310000000000002,2480.142,12,1,0,0,0,0,0,
ERTMS,2026-01-05 10:05:19.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO non finalisé entre 202 et 303, les conditions radio étaient bonnes  avant la déconnexion, La requete de deconnexion a ete envoyé par le  RBC  avec retransmission des trames HDLC*5",BORD,dl Rxqual=2,dl rx level=-72,2026-01-05 10:05:21.930,2026-01-05 10:05:29.030,3s 660ms,7s 100ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500022752.0,1,3.66,7.1,10,0,0,0,1,0,0,6.13
Expandium_Normal,2026-03-06 10:34:13.063,,,,,,,2026-03-06 10:34:13.063,2026-03-06 11:16:13.774,3s 383ms,42min 711ms,Connected,Connected,User Plane SUBSET026 Term Session,,35229605039441.0,0,3.383,2520.711,10,4,0,0,0,0,0,
